Property_name,Total_rooms,Accomodation_size,Property_size,Location,Rent_per_month
Private bedroom in shared flat,2 Rooms,1 adult,14 m²,"Paris, 12th Arrondissement",€967
Private bedroom in shared flat,2 Rooms,1 adult,12 m²,"Paris, 12th Arrondissement",€922
Private bedroom in shared apartment,2 Rooms,1 adult,15 m²,"Paris, 12th Arrondissement",€967
Private bedroom in shared flat,2 Rooms,1 adult,16 m²,"Paris, 12th Arrondissement","€1,067"
"Modern 50m2 flat, nestled in the cultural and dynamic heart of the 12th arrondissement.",2 Rooms,4 adults,50 m²,"Paris, 12th Arrondissement","€3,333"
Co-living : 14 m² bedroom,1 Room,1 adult,14 m²,"Paris, 12th Arrondissement","€1,078"
Private bedroom in shared flat,2 Rooms,1 adult,17 m²,"Paris, 12th Arrondissement","€1,022"
Co-living: 11m² bedroom with private dressing room,1 Room,1 adult,11 m²,"Paris, 12th Arrondissement","€1,022"
Co-living: Bright private bedroom in a neo-Haussmann flat.,1 Room,1 adult,11 m²,"Paris, 12th Arrondissement","€1,106"
"Compact Comfort: 30m²  Apartment, Seamlessly Combining Functionality and Style",2 Rooms,2 adults,30 m²,"Paris, 12th Arrondissement","€2,333"
2-room flat - Gare de Lyon,2 Rooms,4 adults,31 m²,"Paris, 12th Arrondissement","€2,094"
"Beautiful flat with balcony and view, 12th arrondissement, Daumesnil sector",3 Rooms,6 adults,50 m²,"Paris, 12th Arrondissement","€2,550"
Apartment 2 rooms- 31 sqm- Picpus - Reuilly - Nation,2 Rooms,2 adults,31 m²,"Paris, 12th Arrondissement","€2,058"
Charming flat in the heart of the 13th arrondissement - Mobility lease,1 Room,2 adults,35 m²,"Paris, 12th Arrondissement","€2,111"
Cosy Studio in the Heart of the City - Bastille,1 Room,2 adults,18 m²,"Paris, 12th Arrondissement","€1,666"
Charming studio - COURBET/SAINT-MANDE,2 Rooms,2 adults,26 m²,"Paris, 12th Arrondissement","€2,022"
"New suite in vibrant neighbourhood, Paris",2 Rooms,2 adults,42 m²,"Paris, 12th Arrondissement","€1,600"
Charming 1 bedroom in the 11th,1 Room,2 adults,38 m²,"Paris, 12th Arrondissement","€2,550"
Magnificent 2-BR apartment - BASTILLE/ST ANTOINE,3 Rooms,4 adults,80 m²,"Paris, 12th Arrondissement","€5,556"
New and cute suite in vibrant neighbourhood,2 Rooms,4 adults,43 m²,"Paris, 12th Arrondissement","€1,800"
"Fantastic 1-bedroom apartment, 51m² - Elevator - Rue de Picpus / Daumesnil - Paris 12th arrondissement",2 Rooms,4 adults,51 m²,"Paris, 12th Arrondissement","€3,500"
2 bedroom 2 bathroom in the heart of the charming 12th,3 Rooms,3 adults,55 m²,"Paris, 12th Arrondissement","€2,893"
Modern 1-BR apartment with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,2 Rooms,4 adults,38 m²,"Paris, 12th Arrondissement","€4,185"
Lovely apartment 3 minutes walk from the Bois de Vincennes,2 Rooms,4 adults,39 m²,"Paris, 12th Arrondissement","€3,161"
Furnished apartment 2 rooms - Gare de Lyon,2 Rooms,2 adults,31 m²,"Paris, 12th Arrondissement","€2,111"
Magnificent 2-BR apartment - BASTILLE/ST ANTOINE,3 Rooms,4 adults,80 m²,"Paris, 12th Arrondissement","€5,556"
Spacious and Modern 35m2 Apartment with Elevator in Charenton,2 Rooms,4 adults,32 m²,"Paris, 12th Arrondissement","€2,222"
"Newly renovated flat on the 10th floor with a panoramic view, bright, equipped and spacious",1 Room,3 adults,50 m²,"Paris, 12th Arrondissement","€2,778"
"Beautiful flat with balcony and view, 12th arrondissement, Daumesnil sector",3 Rooms,6 adults,50 m²,"Paris, 12th Arrondissement","€2,550"
41.Appart 4Pers#1 Bedroom #Père Lachaise #Nation,2 Rooms,4 adults,35 m²,"Paris, 12th Arrondissement","€2,400"
"Ivry-sur-Seine - Well-lit 1-BR apartment with interior garden, close to Paris-Bercy",2 Rooms,4 adults,24 m²,"Paris, 12th Arrondissement","€2,108"
"Lovely & wonderful flat, Paris",3 Rooms,4 adults,61 m²,"Paris, 12th Arrondissement","€2,696"
Gorgeous Large Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1 Room,2 adults,25 m²,"Paris, 12th Arrondissement","€3,069"
Independent Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1 Room,2 adults,21 m²,"Paris, 12th Arrondissement","€2,790"
Montreuil Saint Mandé - Tranquil Premium Studio near Bois de Vincennes and Parc Floral,1 Room,2 adults,18 m²,"Paris, 12th Arrondissement","€2,139"
Montreuil Saint Mandé - Tranquil 1-BR apartment near Bois de Vincennes and Parc Floral,2 Rooms,4 adults,38 m²,"Paris, 12th Arrondissement","€3,069"
"Charming, spacious apartment (Paris)",3 Rooms,4 adults,110 m²,"Paris, 12th Arrondissement","€3,950"
"Awesome, beautiful flat to rent end of july (Ivry-sur-Seine)",3 Rooms,3 adults,90 m²,"Paris, 12th Arrondissement","€2,700"
25m2 flat close to Nation - Paris 11,1 Room,3 adults,25 m²,"Paris, 12th Arrondissement","€1,600"
Jungle escape under the Parisian sky,3 Rooms,4 adults,44 m²,"Paris, 12th Arrondissement","€3,200"
Ivry-sur-Seine - Nice studio,1 Room,2 adults,22 m²,"Paris, 12th Arrondissement","€3,038"
Apartment Montreuil just near Paris Saint Mandé Line1,3 Rooms,4 adults,65 m²,"Paris, 12th Arrondissement","€2,200"
Ivry-sur-Seine - Nice 1-BR apartment,2 Rooms,2 adults,39 m²,"Paris, 12th Arrondissement","€5,177"
"Awesome, great apartment, brand new!",2 Rooms,3 adults,60 m²,"Paris, 12th Arrondissement","€3,000"
Bright studio with amazing view,1 Room,4 adults,31 m²,"Paris, 12th Arrondissement","€1,700"
"3 room flat, all fitted, in Paris",3 Rooms,4 adults,68 m²,"Paris, 12th Arrondissement","€2,000"
"Charming and modern flat near school, RER and lines 1 and 8and un",2 Rooms,2 adults,55 m²,"Paris, 12th Arrondissement","€2,150"
Nice flat next to Paris,1 Room,4 adults,76 m²,"Paris, 12th Arrondissement","€1,750"
Modern apartment with nice neighbours (Paris),2 Rooms,2 adults,53 m²,"Paris, 12th Arrondissement","€2,500"
Appartement tout confort à Vincennes,2 Rooms,2 adults,38 m²,"Paris, 12th Arrondissement","€2,000"
New and carefully furnished two-room apartment with a wonderful view of Paris,2 Rooms,3 adults,45 m²,"Paris, 12th Arrondissement","€2,400"
Neat & cute Full furnish apartment  Paris 11eme,2 Rooms,2 adults,51 m²,"Paris, 12th Arrondissement","€1,990"
Fashionable and fantastic suite in the heart of town,1 Room,2 adults,28 m²,"Paris, 12th Arrondissement","€2,200"
"Parc Montsouris, Charming 3 rooms, 2 bedrooms, Sunny",1 Room,2 adults,49 m²,"Paris, 13th Arrondissement","€2,650"
Private bedroom in shared flat,2 Rooms,1 adult,14 m²,"Paris, 13th Arrondissement",€967
Private bedroom in shared flat,2 Rooms,1 adult,12 m²,"Paris, 13th Arrondissement",€922
Private bedroom in shared apartment,2 Rooms,1 adult,15 m²,"Paris, 13th Arrondissement",€967
Private bedroom in shared flat,2 Rooms,1 adult,16 m²,"Paris, 13th Arrondissement","€1,067"
Private bedroom in shared flat,2 Rooms,1 adult,17 m²,"Paris, 13th Arrondissement","€1,022"
Charming flat in the heart of the 13th arrondissement - Mobility lease,1 Room,2 adults,35 m²,"Paris, 13th Arrondissement","€2,111"
"50 m² Three-Room Apartment in the Croulebarbe District, 13th Arrondissement of Paris",2 Rooms,2 adults,50 m²,"Paris, 13th Arrondissement","€2,111"
Modern 1-BR apartment with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,2 Rooms,4 adults,38 m²,"Paris, 13th Arrondissement","€4,185"
"Cosy, central, quiet, romantic, design Flat",2 Rooms,2 adults,40 m²,"Paris, 13th Arrondissement","€2,700"
Superb flat located in the heart of the Saint Germain district,1 Room,2 adults,25 m²,"Paris, 13th Arrondissement","€2,200"
Rental Furnished Appartment - 2 Rooms - 45m² - Latin Quarter - Saint Germain de Prés - Odéon- 75005,2 Rooms,2 adults,45 m²,"Paris, 13th Arrondissement","€2,544"
Great & cozy studio,1 Room,2 adults,24 m²,"Paris, 13th Arrondissement","€2,000"
Furnished flat rental - Tolbiac,4 Rooms,7 adults,80 m²,"Paris, 13th Arrondissement","€4,476"
Gorgeous Large Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1 Room,2 adults,25 m²,"Paris, 13th Arrondissement","€3,069"
Independent Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1 Room,2 adults,21 m²,"Paris, 13th Arrondissement","€2,790"
Cosy Haussmanian Appartment,3 Rooms,4 adults,70 m²,"Paris, 13th Arrondissement","€3,300"
"Awesome, beautiful flat to rent end of july (Ivry-sur-Seine)",3 Rooms,3 adults,90 m²,"Paris, 13th Arrondissement","€2,700"
Ivry-sur-Seine - Nice studio,1 Room,2 adults,22 m²,"Paris, 13th Arrondissement","€3,038"
Close to 'Jardin des Plantes',1 Room,2 adults,27 m²,"Paris, 13th Arrondissement","€1,750"
Ivry-sur-Seine - Nice 1-BR apartment,2 Rooms,2 adults,39 m²,"Paris, 13th Arrondissement","€5,177"
Bright studio with amazing view,1 Room,4 adults,31 m²,"Paris, 13th Arrondissement","€1,700"
"Gorgeous room to share in flat in Gentilly, less than 25 minutes from the center of the capital",1 Room,1 adult,20 m²,"Paris, 13th Arrondissement","€1,105"
"3 room flat, all fitted, in Paris",3 Rooms,4 adults,68 m²,"Paris, 13th Arrondissement","€2,000"
Private Room in a Charming Shared Apartment near Metro and Jardin des Plantes,1 Room,1 adult,10 m²,"Paris, 13th Arrondissement","€1,556"
Flat F2 Parc Montsouris Paris,1 Room,2 adults,42 m²,"Paris, 13th Arrondissement","€2,000"
Spacious and Accessible Apartment with Modern Amenities,2 Rooms,2 adults,35 m²,"Paris, 13th Arrondissement","€3,565"
Charming Studio with Versatile Bedding Options and Fully Equipped Kitchenette,1 Room,2 adults,20 m²,"Paris, 13th Arrondissement","€2,325"
Charming Studio Paris 15,1 Room,2 adults,26 m²,"Paris, 14th Arrondissement","€1,300"
"Parc Montsouris, Charming 3 rooms, 2 bedrooms, Sunny",1 Room,2 adults,49 m²,"Paris, 14th Arrondissement","€2,650"
Rental Furnished flat - 3 rooms - 54m² - Parc Montsouris,3 Rooms,4 adults,54 m²,"Paris, 14th Arrondissement","€3,761"
Rent Furnished Apartment - Denfert Rochereau - Port Royal,5 Rooms,6 adults,108 m²,"Paris, 14th Arrondissement","€5,160"
Rental Furnished flat - 4 rooms - 95m² - Montparnasse,4 Rooms,6 adults,95 m²,"Paris, 14th Arrondissement","€4,324"
Flat for 2/3 people Rue Liancourt,2 Rooms,2 adults,45 m²,"Paris, 14th Arrondissement","€1,800"
Superb 80m2 flat in the 14 arrondissement of Paris.,3 Rooms,3 adults,80 m²,"Paris, 14th Arrondissement","€4,000"
Studio in Montparnasse,1 Room,2 adults,47 m²,"Paris, 14th Arrondissement","€3,614"
Lovely studio close to Jardin du Luxembour,1 Room,2 adults,35 m²,"Paris, 14th Arrondissement","€2,590"
34m2 flat near the Musée Bourdelle!,2 Rooms,4 adults,34 m²,"Paris, 14th Arrondissement","€2,611"
Bright & Cozy Studio with Great Amenities | Close to Eiffel Tower,1 Room,2 adults,32 m²,"Paris, 14th Arrondissement","€1,850"
Charming and Bright 2-Bedroom Apartment in Quiet Courtyard,3 Rooms,3 adults,63 m²,"Paris, 14th Arrondissement","€2,756"
"50 m² Three-Room Apartment in the Croulebarbe District, 13th Arrondissement of Paris",2 Rooms,2 adults,50 m²,"Paris, 14th Arrondissement","€2,111"
Cosy Furnished Apartment - 2 Rooms - 56m2 - Plaisance - Porte de Vanves - 75014 Paris,2 Rooms,2 adults,56 m²,"Paris, 14th Arrondissement","€3,147"
Charming and Spacious 40m² Studio near Montparnasse | 14th District,1 Room,4 adults,40 m²,"Paris, 14th Arrondissement","€2,695"
Stunning 64m² two-bedroom apartment just opposite Gare Montparnasse.,3 Rooms,3 adults,64 m²,"Paris, 14th Arrondissement","€4,222"
Great & cozy studio,1 Room,2 adults,24 m²,"Paris, 14th Arrondissement","€2,000"
Cozy and gorgeous flat close to park,1 Room,2 adults,28 m²,"Paris, 14th Arrondissement","€2,385"
Cosy studio  - 14th arrondissement,1 Room,2 adults,22 m²,"Paris, 14th Arrondissement","€2,222"
"Two-Room Apartment with Balcony in Plaisance, 14th Arrondissement, Paris",2 Rooms,2 adults,33 m²,"Paris, 14th Arrondissement","€1,888"
Furnished Appartment - 3 Rooms - 70m² - Montparnasse,3 Rooms,4 adults,70 m²,"Paris, 14th Arrondissement","€3,910"
Discovering Paris' Calm and Serene Family District: Exploring the 15th Arrondissement,1 Room,1 adult,11 m²,"Paris, 14th Arrondissement","€1,444"
Luxembourg - Assas - 3 Bedrooms,3 Rooms,4 adults,95 m²,"Paris, 14th Arrondissement","€10,200"
Quiet furnished apartment rental overlooking the garden,1 Room,2 adults,28 m²,"Paris, 14th Arrondissement","€1,600"
Malakoff - Lovely studio near Paris Expo Porte de Versailles,1 Room,2 adults,16 m²,"Paris, 14th Arrondissement","€2,263"
Malakoff - Lovely studio with terrace near Paris Expo Porte de Versailles,1 Room,2 adults,16 m²,"Paris, 14th Arrondissement","€2,821"
Quiet & wonderful home in Montrouge,3 Rooms,5 adults,69 m²,"Paris, 14th Arrondissement","€3,200"
Cute & fantastic home close to city center (Paris),2 Rooms,4 adults,41 m²,"Paris, 14th Arrondissement","€3,000"
Apartment 1 bedroom - 387 sf - clear and calm - Eiffel Tower view.,2 Rooms,3 adults,36 m²,"Paris, 14th Arrondissement","€1,950"
Charming and furnished apartment in Paris 14th (2 bedrooms),3 Rooms,4 adults,41 m²,"Paris, 14th Arrondissement","€2,900"
Elegant Apartment - Balcony - Brancion,2 Rooms,2 adults,50 m²,"Paris, 15th Arrondissement","€3,111"
"Quiet, charming 2-room flat",2 Rooms,2 adults,44 m²,"Paris, 15th Arrondissement","€2,000"
Amazing large flat with Eiffel Tower view,3 Rooms,4 adults,52 m²,"Paris, 15th Arrondissement","€3,000"
Nice & gorgeous suite conveniently located,1 Room,2 adults,42 m²,"Paris, 15th Arrondissement","€1,800"
Charming Studio Paris 15,1 Room,2 adults,26 m²,"Paris, 15th Arrondissement","€1,300"
Gorgeous studio in the 16th district,1 Room,1 adult,24 m²,"Paris, 15th Arrondissement","€1,300"
Apartment 37 m2 near the Parc des Expositions,1 Room,2 adults,37 m²,"Paris, 15th Arrondissement","€1,400"
Cozy apartment entirely renovated (15th district),2 Rooms,2 adults,22 m²,"Paris, 15th Arrondissement","€1,730"
Fantastic and great home in Paris,2 Rooms,2 adults,30 m²,"Paris, 15th Arrondissement","€1,800"
"Bright, quiet home in Bretten",3 Rooms,5 adults,69 m²,"Paris, 15th Arrondissement","€4,250"
Charming and nice home in Invalides,4 Rooms,5 adults,111 m²,"Paris, 15th Arrondissement","€5,830"
"Cosy, functional studio",1 Room,1 adult,11 m²,"Paris, 15th Arrondissement",€850
ID 395 cozy studio in the 7th arrondissement,1 Room,2 adults,28 m²,"Paris, 15th Arrondissement","€1,790"
Charming Two-Room Furnished Apartment with Eiffel Tower View,2 Rooms,2 adults,55 m²,"Paris, 15th Arrondissement","€3,842"
Charming studio close to the Eiffel Tower with a fan,1 Room,1 adult,10 m²,"Paris, 15th Arrondissement",€900
Charming apartment near Quais de Seine,3 Rooms,4 adults,69 m²,"Paris, 15th Arrondissement","€6,722"
Furnished 4-room Apartment - Spacious and Stylish Living,4 Rooms,9 adults,92 m²,"Paris, 15th Arrondissement","€4,564"
Rental Furnished flat - 4 rooms - 95m² - Montparnasse,4 Rooms,6 adults,95 m²,"Paris, 15th Arrondissement","€4,324"
Beautiful loft in a nice area,3 Rooms,6 adults,78 m²,"Paris, 15th Arrondissement","€4,300"
Magnificent flat 1BDR Rue du commerce,2 Rooms,2 adults,46 m²,"Paris, 15th Arrondissement","€2,812"
Apartement Avenue de Versailles,3 Rooms,2 adults,85 m²,"Paris, 15th Arrondissement","€3,788"
Elegant 76m² flat in the heart of the 15th arrondissement - Mobility lease,2 Rooms,4 adults,76 m²,"Paris, 15th Arrondissement","€5,889"
Wonderful flat rue de la Convention,4 Rooms,4 adults,76 m²,"Paris, 15th Arrondissement","€4,300"
Furnished Apartment for Rent - 3 Rooms - 74m2 - Auteuil - St Cloud,3 Rooms,4 adults,74 m²,"Paris, 15th Arrondissement","€3,861"
"42m2 apartment with one bedroom in the 16th arrondissement, close to transportation.",2 Rooms,2 adults,42 m²,"Paris, 15th Arrondissement","€2,667"
"Very nice flat, furnished with care with stunning view - EIFFEL TOWER",1 Room,2 adults,40 m²,"Paris, 15th Arrondissement","€2,056"
Charm and Comfort in Vanves,1 Room,2 adults,26 m²,"Paris, 15th Arrondissement","€1,400"
Quiet apartment in the heart of the 15e,2 Rooms,2 adults,55 m²,"Paris, 15th Arrondissement","€2,618"
Artistic Charm in the City Skyline - 4 rooms - 90m²,4 Rooms,4 adults,90 m²,"Paris, 15th Arrondissement","€6,224"
Stylish Vanves Oasis,1 Room,2 adults,26 m²,"Paris, 15th Arrondissement","€1,333"
Charming Residence in Vanves,1 Room,2 adults,25 m²,"Paris, 15th Arrondissement","€1,333"
ID 404 modern apartment with Eiffel Tower view in Avenue Lamballe / 16th arrondissement,1 Room,4 adults,70 m²,"Paris, 15th Arrondissement","€4,200"
Elegant New Apartment with Balcony-16ème,2 Rooms,2 adults,52 m²,"Paris, 15th Arrondissement","€3,111"
Cosy apartment close to Champ de Mars,2 Rooms,2 adults,42 m²,"Paris, 15th Arrondissement","€3,333"
Studio in Montparnasse,1 Room,2 adults,47 m²,"Paris, 15th Arrondissement","€3,614"
1-bedroom apartment close to the Eiffel Tower,2 Rooms,2 adults,55 m²,"Paris, 15th Arrondissement","€3,100"
ID389 captivating apartment in the heart of Paris on Rue Bourgogne (7th arr.),2 Rooms,4 adults,28 m²,"Paris, 15th Arrondissement","€2,750"
Charming flat - FELIX FAURE,2 Rooms,2 adults,29 m²,"Paris, 15th Arrondissement","€2,746"
Eiffel Tower haven,1 Room,2 adults,52 m²,"Paris, 15th Arrondissement","€3,222"
"Cute, beautiful apartment for 4 people next to eiffel tower with dyson fan",2 Rooms,4 adults,50 m²,"Paris, 15th Arrondissement","€3,490"
34m2 flat near the Musée Bourdelle!,2 Rooms,4 adults,34 m²,"Paris, 15th Arrondissement","€2,611"
"Charming Apartment for Rent with View Over Avenue Emile Zola, Paris",2 Rooms,2 adults,55 m²,"Paris, 15th Arrondissement","€2,778"
Apartment 2 rooms - 40m² - Champ de Mars,2 Rooms,2 adults,40 m²,"Paris, 15th Arrondissement","€2,998"
Chic 30m² Studio in Vanves,1 Room,2 adults,30 m²,"Paris, 15th Arrondissement","€1,400"
beautiful beauséjour apt in the city,1 Room,2 adults,43 m²,"Paris, 15th Arrondissement","€2,280"
Charming flat - Paris 15ème,2 Rooms,2 adults,40 m²,"Paris, 15th Arrondissement","€3,544"
"Cosy, fully furnished flat",1 Room,2 adults,35 m²,"Paris, 15th Arrondissement","€2,111"
Elegant apartment in the heart of the 4th arrondissement,1 Room,2 adults,40 m²,"Paris, 15th Arrondissement","€2,444"
Apartment 2 rooms - 32m² - Champ de Mars,2 Rooms,2 adults,32 m²,"Paris, 15th Arrondissement","€2,321"
Superb apartment - Pont de Grenelle,3 Rooms,4 adults,63 m²,"Paris, 15th Arrondissement","€4,000"
ID 412 - cozy studio in the 15th,1 Room,2 adults,13.12 m²,"Paris, 15th Arrondissement","€1,500"
Bright & Cozy Studio with Great Amenities | Close to Eiffel Tower,1 Room,2 adults,32 m²,"Paris, 15th Arrondissement","€1,850"
"Charming 25m² apartment located in the 6th arrondissement, close to Le Bon Marché and the Luxembourg Gardens.",2 Rooms,1 adult,25 m²,"Paris, 15th Arrondissement","€2,300"
Cosy little flat in Vaugirard,1 Room,2 adults,26 m²,"Paris, 15th Arrondissement","€2,050"
Apartment 2 rooms - 35m² - Raspail - Sèvres- Babylone,2 Rooms,2 adults,35 m²,"Paris, 15th Arrondissement","€2,276"
Cosy Furnished Apartment - 2 Rooms - 56m2 - Plaisance - Porte de Vanves - 75014 Paris,2 Rooms,2 adults,56 m²,"Paris, 15th Arrondissement","€3,147"
Charming and Spacious 40m² Studio near Montparnasse | 14th District,1 Room,4 adults,40 m²,"Paris, 15th Arrondissement","€2,695"
Studio in Auteuil,1 Room,2 adults,40 m²,"Paris, 15th Arrondissement","€3,739"
Co-Living : 13m² Bedroom in the heart of Paris 16th Arrondissement,1 Room,1 adult,13 m²,"Paris, 15th Arrondissement","€1,611"
Passy Trocadéro Chic,2 Rooms,4 adults,50 m²,"Paris, 15th Arrondissement","€3,700"
Stunning 64m² two-bedroom apartment just opposite Gare Montparnasse.,3 Rooms,3 adults,64 m²,"Paris, 15th Arrondissement","€4,222"
"54 m² Fully Renovated Apartment in the Necker District, 15th Arrondissement of Paris",2 Rooms,2 adults,54 m²,"Paris, 15th Arrondissement","€2,680"
Charming 80m² Apartment | Central Location near Hôtel des Invalides & Champ de Mars,3 Rooms,4 adults,80 m²,"Paris, 15th Arrondissement","€6,333"
Cozy 1BR Apartment with Convenient Access to Public Transportation - FELIX FAURE,2 Rooms,3 adults,32 m²,"Paris, 15th Arrondissement","€2,667"
"Lovely 32m² apartment in the 7th arrondissement of Paris, ideal location",2 Rooms,2 adults,32 m²,"Paris, 15th Arrondissement","€2,889"
Co-living: 16m² room,1 Room,1 adult,16 m²,"Paris, 15th Arrondissement","€1,122"
"Charming modern apartment of 25m2,  located in one of the most elegant and prestigious neighborhoods of Paris.",2 Rooms,2 adults,25 m²,"Paris, 15th Arrondissement","€2,067"
Cozy and gorgeous flat close to park,1 Room,2 adults,28 m²,"Paris, 15th Arrondissement","€2,385"
Cosy studio  - 14th arrondissement,1 Room,2 adults,22 m²,"Paris, 15th Arrondissement","€2,222"
"Cosy Studio of 14m2 in the 16th district, close to transport",1 Room,2 adults,14 m²,"Paris, 15th Arrondissement","€1,894"
"Two-Room Apartment with Balcony in Plaisance, 14th Arrondissement, Paris",2 Rooms,2 adults,33 m²,"Paris, 15th Arrondissement","€1,888"
Rental Furnished flat - 3 rooms - 55m² - Quartier Latin,3 Rooms,4 adults,55 m²,"Paris, 15th Arrondissement","€4,453"
ID 409 - one bedroom apartment in rue Lecourbe 15th arr,1 Room,2 adults,41 m²,"Paris, 15th Arrondissement","€5,000"
Furnished Appartment - 3 Rooms - 70m² - Montparnasse,3 Rooms,4 adults,70 m²,"Paris, 15th Arrondissement","€3,910"
ID 408 Charming & cozy apt in the 7th,1 Room,4 adults,25 m²,"Paris, 15th Arrondissement","€2,000"
Studio 30m² : Portes de Versailles - Javel - Convention,1 Room,2 adults,30 m²,"Paris, 15th Arrondissement","€2,394"
Apartment - 2 rooms- 30 sqm- Montparnasse,2 Rooms,2 adults,30 m²,"Paris, 15th Arrondissement","€2,174"
70 m² 2 rooms flat  15mn walk from Tour Eiffel in a peaceful district,3 Rooms,4 adults,70 m²,"Paris, 15th Arrondissement","€2,700"
2 bedrooms in Saint-Lambert,3 Rooms,4 adults,75 m²,"Paris, 15th Arrondissement","€8,000"
"CHIC 1-BEDROOM APARTMENT IN PRIME LOCATION(OVERLOOKING PASSY PARC, STEPS FROM EIFFEL TOWER)",2 Rooms,4 adults,60 m²,"Paris, 15th Arrondissement","€2,700"
Lovely bathed in light apartment in Paris,2 Rooms,2 adults,25 m²,"Paris, 15th Arrondissement","€1,250"
Passy - Trocadero I 1 Bedroom,2 Rooms,3 adults,80 m²,"Paris, 15th Arrondissement","€7,800"
Studio Meublé Haussmannien,1 Room,1 adult,22 m²,"Paris, 15th Arrondissement","€1,550"
Charming Oasis in Vanves,2 Rooms,4 adults,24 m²,"Paris, 15th Arrondissement","€2,000"
Cozy Studio in Paris' 16th District with Kitchenette and High-Speed Internet,1 Room,1 adult,10 m²,"Paris, 15th Arrondissement","€1,500"
Perfect loft - great view!,2 Rooms,2 adults,52 m²,"Paris, 15th Arrondissement","€3,500"
Tranquil Comfort in Vanves,1 Room,2 adults,25 m²,"Paris, 15th Arrondissement","€1,333"
Cosy Studio 2pers. - Quais de Seine / Eiffel Tower,1 Room,2 adults,20 m²,"Paris, 15th Arrondissement","€2,466"
Charming Studio in Vanves,1 Room,2 adults,26 m²,"Paris, 15th Arrondissement","€1,333"
Fully furnished and ideally located studio,1 Room,2 adults,11 m²,"Paris, 15th Arrondissement","€1,728"
Rental Furnished flat - 3 rooms - 63m² - Champ de Mars,3 Rooms,3 adults,63 m²,"Paris, 15th Arrondissement","€6,623"
Discovering Paris' Calm and Serene Family District: Exploring the 15th Arrondissement,1 Room,1 adult,11 m²,"Paris, 15th Arrondissement","€1,444"
Cosy Studio 2P / Parc Georges Brassens,1 Room,2 adults,15 m²,"Paris, 15th Arrondissement","€2,042"
Cosy Studio 2P / Parc Georges Brassens,1 Room,2 adults,13 m²,"Paris, 15th Arrondissement","€2,042"
Cosy studio near Quais de Seine,1 Room,1 adult,10 m²,"Paris, 15th Arrondissement","€2,222"
"Charming Studio in the Heart of the 15th Arrondissement, Paris",1 Room,2 adults,35 m²,"Paris, 15th Arrondissement","€2,500"
"Welcome Home: Charming Apartment, 5 minutes walk from Champ de Mars",3 Rooms,6 adults,65 m²,"Paris, 15th Arrondissement","€3,667"
"""Community Living and Premium Accommodations: Where Comfort Meets Socializing",2 Rooms,2 adults,30 m²,"Paris, 15th Arrondissement","€1,866"
Quiet & Neat Apartment in Vanves,1 Room,2 adults,25 m²,"Paris, 15th Arrondissement","€1,400"
Quiet furnished apartment rental overlooking the garden,1 Room,2 adults,28 m²,"Paris, 15th Arrondissement","€1,600"
Quiet flat near the Eiffel Tower,2 Rooms,2 adults,55 m²,"Paris, 15th Arrondissement","€2,778"
Olympic Game 24 Paris Period - Shiny Clean Appartment near Paris Exposition Center - at the foot of Mairie d'Issy L12,2 Rooms,4 adults,28 m²,"Paris, 15th Arrondissement","€1,600"
Stunning one bedroom flat in high end residence,2 Rooms,2 adults,40 m²,"Paris, 15th Arrondissement","€2,944"
New fully-equiped apartment 41 sq.m with parking and balcony,2 Rooms,2 adults,41 m²,"Paris, 15th Arrondissement","€1,699"
A Haven of Comfort: Furnished and Cozy 2-Room Apartment,3 Rooms,2 adults,55 m²,"Paris, 15th Arrondissement","€3,556"
Art Deco - Tour Eiffel 180SQM 3br+balcony,4 Rooms,5 adults,100 m²,"Paris, 15th Arrondissement","€6,500"
Charming apartment 16th District. Auteuil Mirabeau,2 Rooms,4 adults,44 m²,"Paris, 15th Arrondissement","€2,950"
Cute & fantastic home close to city center (Paris),2 Rooms,4 adults,41 m²,"Paris, 15th Arrondissement","€3,000"
Comfort and Convenience: Spacious 3-Room Apartment,3 Rooms,2 adults,50 m²,"Paris, 15th Arrondissement","€3,722"
Cozy 2-Room Apartment: Feel at Home Instantly!,2 Rooms,2 adults,40 m²,"Paris, 15th Arrondissement","€3,056"
Neat & modern home in Bretten,2 Rooms,2 adults,28 m²,"Paris, 15th Arrondissement","€5,300"
Modern suite conveniently located,2 Rooms,3 adults,35 m²,"Paris, 15th Arrondissement","€2,000"
Architect modern apartment 10 min from Eiffel Tower (with balcony),2 Rooms,2 adults,34 m²,"Paris, 15th Arrondissement","€3,400"
Apartment 1 bedroom - 387 sf - clear and calm - Eiffel Tower view.,2 Rooms,3 adults,36 m²,"Paris, 15th Arrondissement","€1,950"
Cosy 1 bedroom apartment in Paris 15,2 Rooms,4 adults,31 m²,"Paris, 15th Arrondissement","€1,700"
Charming and furnished apartment in Paris 14th (2 bedrooms),3 Rooms,4 adults,41 m²,"Paris, 15th Arrondissement","€2,900"
Paris 15th: Private Room near Eiffel Tower,1 Room,1 adult,10 m²,"Paris, 15th Arrondissement","€1,444"
